Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Total Long-Term Liabilities,"1,548.34","1,622.94","1,615.02","1,580.46","1,171.7","1,148.06",737.63,589.14,521.05,542.53,181.52,302.44,113.45,88.67,229.37,202.45,-,83.8,-,26.6
Total Liabilities,"2,321.16","2,322.14","2,188.32","2,150.76","1,702.99","1,688.75","1,121.39",943.95,771.39,759.95,306.07,447.03,195.41,161.49,295.25,268.46,-,117.02,-,38.92
Total Debt,"1,382.03","1,404.08","1,426.72","1,414.08","1,022.29",982.47,663.84,502.99,384.83,381.38,101,226,60.36,40.36,193.43,169.83,-,72.77,-,24.37
Debt Growth,35.19%,42.91%,114.92%,181.14%,165.65%,157.61%,557.27%,122.56%,537.52%,844.88%,-47.78%,33.07%,-,-44.53%,-,596.86%,-,-,-,-
Common Stock,717.26,704.87,699.97,683.81,671.56,663.38,608.6,404.19,399,392.13,237.47,235.28,90,81.94,-0.24,-0.26,-,-63.7,-,0
Retained Earnings,-110.9,-96.76,-48.27,-23.48,-32.12,-54.99,-32.32,-19.49,-9.73,-24.35,-14.04,-10.77,-7.18,-8.65,-206.04,-128.87,-,0,-,-40.47
Shareholders' Equity,606.36,608.1,651.7,660.33,639.44,608.38,576.28,384.7,389.27,367.78,223.43,224.51,82.82,73.29,-206.28,-129.13,-,-63.7,-,-40.47
Total Liabilities and Equity,"2,927.52","2,930.25","2,840.02","2,811.09","2,342.43","2,297.13","1,697.67","1,328.65","1,160.66","1,127.73",529.5,671.55,278.22,234.78,88.97,139.33,-,53.33,-,-1.54
Net Cash / Debt,"-1,195.21","-1,173.61","-1,176.11","-1,130.15",-778.39,-754.73,-242.4,-227,-262.28,-239.36,-43,-21.56,-4.4,30.71,-175.92,-154,0,-64.77,0,-21.15
Net Cash Per Share,-20.36,-24.65,-20.53,-18.88,-13.26,-13.73,-5.22,-5.08,-5.73,-8.81,-1.30,-1.06,-0.22,-,-,-,-,-,-,-
Working Capital,7.66,73.19,137.59,156.23,103.9,37.7,276.68,136,83.45,84.57,34.52,165.74,48.97,60.1,2.57,5.63,-,5.37,-,-3.79
Book Value Per Share,10.33,10.48,11.38,11.73,11.48,11.07,12.41,8.61,8.80,13.53,6.75,10.99,4.25,4.09,-3.46,-2.17,-,-1.07,-,-
