Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-03-31
Other Current Liabilities,4.01,3.99,4.15,5.32,12.2,11.9,16.46,16.02,8.79,8.05,8.28,7.13,7.37,2.8,6.79,3.06,2.4,0.34,0.33,0.4,-,-,-,0.09,4.49
Total Current Liabilities,4.77,4.51,4.82,6.17,17.88,18.14,22.82,16.78,14.91,13.69,12.9,11.13,7.84,3.61,8.82,3.75,3.67,1.39,1.45,1.5,-,-,-,0.42,4.49
Long-Term Debt,0.44,0.33,0.39,0.28,1.81,2.08,2.43,0.66,3.22,3.53,3.83,3.03,0.46,0.52,0.26,0.18,0.23,0,0,0,-,-,-,0,0
Other Long-Term Liabilities,0.04,0.04,0.04,0.05,0.05,0.05,0.05,2.3,0.05,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
Total Long-Term Liabilities,0.48,0.37,0.43,0.32,1.86,2.12,2.48,2.95,3.26,3.53,3.83,3.03,0.46,0.52,0.26,0.18,0.23,0,0,0,-,-,-,0,0
Total Liabilities,5.25,4.87,5.25,6.49,19.74,20.26,25.29,19.73,18.18,17.22,16.73,14.16,8.31,4.13,9.07,3.93,3.9,1.39,1.45,1.5,-,-,-,0.42,4.49
Total Debt,1.13,0.83,1.05,1.11,7.36,8.14,8.6,1.37,9.1,9.17,8.44,7.03,0.88,1.05,0.81,0.87,0.44,0,0,0,-,-,-,0,0
Debt Growth,-84.63%,-89.76%,-87.77%,-19.06%,-19.10%,-11.18%,1.90%,-80.53%,930.60%,772.86%,946.23%,704.36%,99.89%,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,43.34,43.34,42.89,42.8,42.44,43.14,43.04,40.76,34.8,33.45,27.02,27.02,26.84,26.79,24.83,23.84,23.66,23.61,23.61,23.61,-,-,-,11.36,11.36
Retained Earnings,-36.32,-35.35,-34.27,-34.6,-39.74,-39.89,-40.31,-34.06,-30.95,-27.87,-25.69,-23.7,-19.85,-14.52,-15.61,-15.03,-12.97,-12.2,-11.41,-10.48,-,-,-,-0.62,-0.03
Comprehensive Income,-1.33,-1.72,-0.89,-0.11,-0.78,-0.84,-0.85,-0.84,-0.74,-0.68,-0.5,-0.51,-0.62,-0.76,-0.49,-0.43,-0.39,-0.36,-0.3,-0.25,-,-,-,-1.11,-0.51
Shareholders' Equity,5.69,6.27,7.73,8.09,1.92,2.4,1.88,5.86,3.11,4.9,0.83,2.8,6.37,11.51,8.73,8.38,10.3,11.05,11.9,12.88,-,-,-,9.63,10.82
Total Liabilities and Equity,10.94,11.14,12.98,14.58,21.66,22.67,27.17,25.59,21.29,22.12,17.56,16.96,14.68,15.64,17.8,12.31,14.2,12.44,13.35,14.37,-,-,-,10.05,15.31
Net Cash / Debt,0.58,1.35,1.06,0.39,-4.21,-5.92,-4.06,3.51,-4.89,-4.26,-7.38,-5.73,0.72,1.86,4.9,3.1,8.85,10.07,10.25,11.14,0,0,0,0.16,0
Net Cash / Debt Growth,-,-,-,-88.84%,-,-,-,-,-,-,-,-,-91.87%,-81.53%,-52.19%,-72.14%,-,-,-,6807.70%,-,-,-,-,-
Net Cash Per Share,0.07,0.19,0.17,0.06,-0.71,-1.07,-0.77,0.75,-1.12,-1.13,-2.54,-1.98,0.25,0.66,1.88,1.20,3.42,3.89,3.96,4.87,-,-,-,-,-
Working Capital,-0.82,0.03,0.58,-0.57,-9.87,-10.9,-12.08,-5.89,-5.64,-3.59,-6.82,-4.53,3.03,7.85,6.19,7.65,8.49,8.75,8.88,9.72,-,-,-,-0.24,17.02
Book Value Per Share,0.74,0.89,1.23,1.31,0.32,0.43,0.36,1.25,0.71,1.30,0.29,0.97,2.21,4.08,3.34,3.23,3.98,4.27,4.60,5.63,-,-,-,4.76,5.34
