Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Debt Growth,358.29%,358.47%,188.67%,0.30%,0.30%,0.30%,6.29%,28.77%,76.95%,154.24%,257.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,347.45,347.25,297.92,295.89,296.62,295.27,293.76,292.28,292.92,291.54,289.1,230.49,230.97,229.45,227.88,160.2,159.8,158.7,157.93,156.48,156,155.29,155.02,153.89,153.72,153.56,153.4,80.27,-,80.23,-,-,80.08
Retained Earnings,585.69,533.12,468.87,438.87,414.76,385.94,340.13,306.02,272.89,243.32,207.18,194.32,166.07,162.91,146.83,135.63,123.56,106.55,103.58,93.13,84.5,73.5,68.84,65.9,58.66,53.64,47.82,40.88,-,29.57,-,-,7.3
Comprehensive Income,-117.41,-134.92,-147.34,-100.69,-45.81,18.13,25.27,31.34,21.76,41.38,37.86,31.3,4.3,13.52,15.32,12.08,5.52,-1.26,-3.61,-1.66,-0.64,9.4,7.9,6.26,4.08,3.01,8.67,8.67,-,3.65,-,-,5.21
Shareholders' Equity,815.73,745.45,619.46,634.07,665.57,699.34,659.17,629.64,587.57,576.24,534.13,456.11,401.33,405.88,390.04,307.91,288.89,263.99,257.91,247.95,239.85,238.19,231.76,226.05,216.47,210.21,209.88,129.83,-,113.45,-,-,92.59
Total Liabilities and Equity,"2,997.82","2,747.12","2,464.23","2,198.12","2,114.56","2,025.66","1,898.9","1,806.28","1,645.34","1,546.9","1,468.59","1,289.35","1,165.49","1,090.55","1,036.45",894.81,852.87,773.06,770.5,728.9,687.77,667.85,662.99,622.97,594.46,614.39,663.27,563.59,-,545.28,-,-,437.6
Net Cash / Debt,-37.16,-39.47,3.05,78.13,61.43,78.34,47.35,85.37,89.93,34.52,38.56,29.87,28.48,83.66,75.1,78.13,102.87,75.09,64.74,79.67,56.66,81.75,96.68,93.43,75.56,50.75,76.53,-7.45,0,-5.06,0,0,-3.53
Net Cash / Debt Growth,-,-,-93.55%,-8.48%,-31.69%,126.93%,22.80%,185.82%,215.79%,-58.74%,-48.66%,-61.77%,-72.32%,11.42%,15.99%,-1.93%,81.57%,-8.14%,-33.04%,-14.73%,-25.01%,61.07%,26.33%,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-1.60,-1.70,0.13,3.38,2.66,3.39,2.05,3.70,3.90,1.50,1.68,1.32,1.26,3.69,3.37,3.58,4.73,3.46,2.98,3.68,2.62,3.78,4.49,4.35,3.53,1.35,2.09,-0.54,-,-0.37,-,-,-
Book Value Per Share,35.45,32.54,27.15,27.83,29.25,30.77,29.02,27.76,25.92,25.48,23.85,20.59,18.15,18.39,18.01,14.52,13.65,12.49,12.22,11.77,11.40,11.32,11.04,10.78,10.32,5.71,5.76,9.41,-,8.22,-,-,6.71
