Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Accounts Payable,85.88,73.83,66.72,81.42,84.78,121.43,75.7,64.41,67.7,49.62,51.75,63.96,53.6,60.08,63.69,59.27,52.04,49.15,52.85,53.56,52.86,55.79,55.48,-,-,42.66,-,43.15
Deferred Revenue,33.23,32.26,25.11,23.43,24.27,21.65,15.24,10.39,5.5,5.39,5.22,4.97,6.66,10.17,9.05,8.71,7.85,9.48,9.67,10.55,10.15,11.98,12.51,-,-,12.34,-,15.72
Current Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147.77,-,8.05
Other Current Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.61,-,25.54
Total Current Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229.38,-,92.46
Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479.36,-,563.84
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.2,-,29.1
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510.56,-,592.94
Total Liabilities,"2,850.6","2,843.33","2,652.9","2,562.59","2,389.58","2,300.27","1,394.64","1,277.76","1,247.5","1,051.08","1,013.98","1,034.22","1,007.2","1,031.38","1,033.09","1,027.98",997.39,938.72,985.87,768,742.83,852.6,696.25,-,-,739.94,-,685.4
Total Debt,"2,682.73","2,670.16","2,515.69","2,256.77","2,210.68","2,068.22","1,240.65","1,132.54","1,119.3",942.31,918.29,919.6,910.17,915.54,931.46,917.36,911.72,806.34,870.52,629.11,624.97,708.61,564.27,-,-,627.13,-,571.89
Debt Growth,21.35%,29.10%,102.77%,99.27%,97.51%,119.48%,35.10%,23.16%,22.98%,2.92%,-1.41%,0.24%,-0.17%,13.54%,7.00%,45.82%,45.88%,13.79%,54.27%,-,-,12.99%,-,-,-,-,-,-
Common Stock,-11.47,-12.33,-16.26,-17.65,-21.48,-10.76,-7.13,4.9,3,1.97,-0.38,-3.76,-7.05,-4.25,14.52,62.29,62.13,60.02,64.16,62.58,61.07,46.09,-35.69,-,-,-36,-,-37.14
Retained Earnings,-168.55,4.27,190.69,169.5,200.01,203.47,236.78,283.37,183.4,160.07,157.93,147.3,127.47,93.42,63.21,35.82,18.98,-18.07,-3.77,43.25,27.28,3.99,143.08,-,-,136.84,-,71.39
Comprehensive Income,-48.8,-46.08,-49.97,-36.27,-25.75,-32.38,-32.17,-21.56,-26.3,-30.13,-45,-50.6,-60.86,-38.66,-42.68,-40.73,-44.37,-61.06,-50.53,-52.99,-45.8,-42.94,-41.5,-,-,-59.99,-,-53.63
Shareholders' Equity,-228.82,-54.13,124.45,115.58,152.79,160.33,197.48,266.7,160.1,131.91,112.55,92.94,59.57,50.51,35.05,57.38,36.74,-19.1,9.86,52.85,42.55,7.14,65.89,-,-,40.86,-,-19.38
Total Liabilities and Equity,"2,621.79","2,789.19","2,777.35","2,678.17","2,542.37","2,460.6","1,592.12","1,544.47","1,407.6","1,182.99","1,126.53","1,127.16","1,066.77","1,081.9","1,068.13","1,085.36","1,034.13",919.62,995.73,820.85,785.38,859.73,762.14,-,-,780.8,-,666.02
Net Cash / Debt,"-2,504.51","-2,504.48","-2,325.98","-2,121.91","-2,040.35","-1,906.15",-968.7,-786.88,-903.5,-674.2,-648.69,-586.98,-729.93,-805.52,-830.49,-791.35,-794.55,-719.72,-692.92,-501.56,-476.57,-534.12,-457.25,0,0,-264.78,0,-324.11
Net Cash Per Share,-61.41,-63.49,-56.96,-52.55,-49.39,-45.06,-23.50,-18.02,-20.72,-15.54,-15.53,-14.13,-17.42,-18.63,-18.05,-16.80,-16.79,-15.10,-15.11,-10.45,-10.05,-13.28,-11.75,-,-,-,-,-
Working Capital,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189.17,-,210
Book Value Per Share,-5.61,-1.32,3.07,2.86,3.79,3.98,4.79,6.40,3.86,3.21,2.75,2.28,1.46,1.22,0.79,1.24,0.79,-0.41,0.21,1.16,0.94,0.18,1.74,-,-,1.08,-,-0.51
