Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Total Long-Term Assets,604.9,599.9,599.1,606.8,607.4,603.6,599.6,601.4,591.5,598.4,632.7,648.5,670.5,675.7,694.3,708.2,720.7,619.7,605.5,600.6,617.4,623.4,643.5,648.3,650,649.3,623.8,-,-,626.8,-,791.1
Total Assets,871.3,828.3,850.8,925.2,871.6,883.3,994.5,931.5,900.1,865.6,930.3,963.8,934.8,886.9,962.3,"1,009.1","1,002.4",868.7,913.4,929.2,915.2,893.5,933.7,968.4,"1,024.6",978.9,914,-,-,817.6,-,994.2
Accounts Payable,53.6,49.2,42.1,60.7,54.8,36.3,49,59.7,59.8,54.2,47.3,54.3,72.1,58.5,50.6,78,98,72.4,67.5,77.1,87.7,67.8,74.4,82.5,101.3,85.3,60.2,-,-,39.5,-,34.5
Current Debt,15.9,16.3,16.6,17.6,18.5,17.9,59.3,19.1,0,19.7,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.1,-,-,8.8,-,32.9
Other Current Liabilities,132.2,159.3,163.2,158.1,129.7,207.2,210.3,158.4,181,164.6,160.3,136.7,120,121,142.9,123.2,113.7,126,137.3,102.3,91.5,119.2,110.1,103.9,99.8,100.7,84.8,-,-,75.4,-,73.8
Total Current Liabilities,201.7,224.8,221.9,236.4,203,261.4,318.6,237.2,240.8,238.5,207.6,191.5,192.1,179.5,193.5,201.2,211.7,198.4,204.8,179.4,179.2,187,184.5,187.4,201.1,186,162.1,-,-,123.7,-,141.2
Long-Term Debt,259.6,197.6,223.2,270.1,234.6,163.4,232.2,286.3,299.3,281.5,347.4,410,394.4,353.9,427.3,481.9,485.6,362.7,397.2,486.3,478.8,458.3,488.4,524.9,607.5,587,619.4,-,-,29.2,-,44
Other Long-Term Liabilities,77.3,76.4,74.2,77.3,80.1,81.5,84.8,88.4,84,97.8,97.6,91.9,81.2,84.9,75.4,76.9,77.6,81.6,79.7,82.7,95.6,98.8,87.2,89.5,91.5,94.8,43.9,-,-,41.2,-,457.5
Total Long-Term Liabilities,336.9,274,297.4,347.4,314.7,244.9,317,374.7,383.3,379.3,445,501.9,475.6,438.8,502.7,558.8,563.2,444.3,476.9,569,574.4,557.1,575.6,614.4,699,681.8,663.3,-,-,70.4,-,501.5
Total Liabilities,538.6,498.8,519.3,583.8,517.7,506.3,635.6,611.9,624.1,617.8,652.6,693.4,667.7,618.3,696.2,760,774.9,642.7,681.7,748.4,753.6,744.1,760.1,801.8,900.1,867.8,825.4,-,-,194.1,-,642.7
Total Debt,275.5,213.9,239.8,287.7,253.1,181.3,291.5,305.4,299.3,301.2,347.4,410.5,394.4,353.9,427.3,481.9,485.6,362.7,397.2,486.3,478.8,458.3,488.4,525.9,607.5,587,636.5,-,-,38,-,76.9
Debt Growth,8.85%,17.98%,-17.74%,-5.80%,-15.44%,-39.81%,-16.09%,-25.60%,-24.11%,-14.89%,-18.70%,-14.82%,-18.78%,-2.43%,7.58%,-0.90%,1.42%,-20.86%,-18.67%,-7.53%,-21.19%,-21.93%,-23.27%,-,-,1444.74%,-,-,-,-,-,-
Common Stock,45.9,58.8,67.1,95,153.7,203.9,212.1,214.9,214.6,223.1,220.7,221.4,218.4,221.3,220.6,218.2,214.7,214.4,212.8,210.7,207.5,205.1,203.7,204.5,183.8,180.2,100.8,-,-,639.5,-,"1,025.2"
Retained Earnings,369.7,353.9,343,323.8,277.8,251.4,225.8,183.6,140.7,105.5,141.3,134.2,135.5,131.9,124.9,110.2,92.9,94.3,84.4,36.4,17.5,8.9,32.6,27.3,8.5,-0.8,-,-,-,0,-,-
Comprehensive Income,-82.9,-83.2,-78.6,-77.4,-77.6,-78.3,-79,-78.9,-79.3,-80.8,-84.3,-85.2,-86.8,-84.6,-79.4,-79.3,-80.1,-82.7,-65.5,-66.3,-63.4,-64.6,-62.7,-65.2,-67.8,-68.3,-12.2,-,-,-16,-,-673.7
Shareholders' Equity,332.7,329.5,331.5,341.4,353.9,377,358.9,319.6,276,247.8,277.7,270.4,267.1,268.6,266.1,249.1,227.5,226,231.7,180.8,161.6,149.4,173.6,166.6,124.5,111.1,88.6,-,-,623.5,-,351.5
Total Liabilities and Equity,871.3,828.3,850.8,925.2,871.6,883.3,994.5,931.5,900.1,865.6,930.3,963.8,934.8,886.9,962.3,"1,009.1","1,002.4",868.7,913.4,929.2,915.2,893.5,933.7,968.4,"1,024.6",978.9,914,-,-,817.6,-,994.2
Net Cash / Debt,-246.7,-179.7,-229,-269.9,-242.7,-126.8,-168.6,-265.5,-260.8,-227.6,-306.5,-373.1,-386.7,-336.7,-395.2,-472.4,-475.1,-315.4,-341,-474.5,-466.7,-406.3,-456.2,-517.8,-595.2,-550.8,-583.5,0,0,-22.9,0,-48.3
Net Cash Per Share,-8.09,-5.72,-7.41,-8.33,-7.06,-3.43,-4.86,-7.70,-7.56,-6.77,-8.96,-10.97,-11.27,-9.73,-11.52,-13.81,-13.97,-9.28,-9.97,-13.96,-13.77,-12.09,-13.50,-15.74,-18.15,-16.20,-18.01,-,-,-0.71,-,-
Working Capital,64.7,3.6,29.8,82,61.2,18.3,76.3,92.9,67.8,28.7,90,123.8,72.2,31.7,74.5,99.7,70,50.6,103.1,149.2,118.6,83.1,105.7,132.7,173.5,143.6,128.1,-,-,67.1,-,61.9
Book Value Per Share,11.39,11.25,11.12,10.84,10.76,11.46,10.65,9.48,8.21,7.38,8.17,7.95,7.81,7.88,7.78,7.30,6.69,6.69,6.83,5.35,4.79,4.47,5.17,5.09,3.82,3.35,2.73,-,-,19.24,-,10.85
