Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Investing Cash Flow,-0.04,8.8,19.92,4.6,-59.78,-2.11,32.36,64.21,-90.91,-21.25,10.87,-142.66,12.79,-37.53,-40.1,146.95,-37.52,-21.4,11.78,-64.38,-34.62,-28.47,-64.35,-5.24,-14.85,-31.41,-1.65,33.26,-23.32,-9.41,-19.28,-31.57,-1.13
Dividends Paid,-1.88,-1.56,-1.58,-1.64,-1.67,-1.17,-1.19,-1.21,-0.82,-0.68,-0.68,-0.68,-0.68,-0.68,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Stock Issued,0,1.09,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Repurchases,0,-0.26,-1.36,-4.19,-3.62,-3.41,-2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.31,0
Other Financing Activities,-20.8,-10.84,-26.2,-58.43,-11.51,8.44,28.31,-47.75,74.65,48.13,-42.36,161.35,-37.42,73.65,14.41,-120.25,30.83,11.64,-9.77,53.25,-19.96,80.57,60.61,8.11,14.02,16.06,0.13,-33.72,18.07,-11.02,-1.7,62.82,-1.57
Financing Cash Flow,-22.68,-11.05,-26.42,-55.89,-9.54,10.69,29.28,-48.96,73.83,47.45,-43.04,160.67,-38.1,72.97,14.21,-120.45,30.63,11.64,-9.77,53.25,-19.96,80.57,60.61,8.11,14.02,16.06,0.13,-33.72,18.07,-11.02,-2.62,62.51,-1.57
Net Cash Flow,-35.33,5.39,1.19,-47.26,-64.69,14.53,64.25,12.42,-9.91,32.11,-28.33,22.22,-21.16,34.08,-24.19,38.92,-2.59,-5.53,6.22,-7.17,-49.95,55.64,0.39,4.01,3.18,-13.32,1.54,2.92,-0.12,-17.97,-20.05,34.12,0.62
Free Cash Flow,7.19,7.56,7.63,3.8,4.39,2.78,2.53,-3.07,6.97,5.78,3.31,3.37,2.54,0.61,0.37,8.32,3.77,3.47,4.07,3.9,4.62,3.55,4.08,1.06,3.97,2.02,3.06,3.38,5.11,1.97,1.81,3.16,3.23
Free Cash Flow Growth,63.80%,171.88%,201.50%,-,-37.01%,-51.89%,-23.48%,-,174.10%,842.90%,791.91%,-59.51%,-32.67%,-82.34%,-90.88%,113.38%,-18.29%,-2.31%,-0.29%,269.76%,16.46%,76.03%,33.19%,-68.78%,-22.39%,2.49%,69.28%,6.93%,58.20%,-,-,-,-
Free Cash Flow Margin,39.84%,39.29%,39.34%,21.83%,25.96%,15.92%,14.53%,-18.31%,44.60%,39.22%,23.55%,26.17%,21.19%,5.47%,3.13%,75.05%,35.28%,31.83%,38.21%,35.81%,43.25%,31.89%,36.78%,10.55%,40.77%,20.18%,31.54%,33.15%,50.54%,19.20%,18.76%,33.30%,34.84%
Free Cash Flow Per Share,1.15,1.21,1.22,0.60,0.68,0.42,0.38,-0.46,1.03,0.85,0.48,0.50,0.38,0.09,0.06,1.24,0.57,0.52,0.61,0.59,0.70,0.54,0.69,0.22,0.84,0.43,0.65,0.72,1.09,0.40,0.38,0.66,0.68
