Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Investing Cash Flow,-336.41,"-1,114.78",-712.89,-621.9,-360.22,-379,-180.51,-182.81,287.91,115.18,135.17,172.02,143.4,164.08,143.21,185.38,161.1,218.4,204.31,226.35,229.68,434.13,216.5,186.87,161.08,15.01,-73.97,89.07,-356,-485.78,-557.49,-884.73,-478.7,-331.6,-251.66,-359.53,-314.29,-338.28,-298.94,-
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.69,0.72,3.79,0.19,3.05,5.24,7.57,4.31,5.36,4.76,3.5,-14.64,6.39,4.38,5.13,0.86,828.66,0.81,1.42,0.87,0.01,1.04,-
Debt Issued / Paid,-38.97,-80.96,-74.64,-129.73,-167.01,-234.05,46.73,-343.85,-236.55,-106.77,-476.76,-288.16,88.4,-20.07,34.37,-127.06,-400.53,250.13,-259.1,36.08,-254.87,53.67,-223.42,-157.82,-158.34,63.36,23.61,-92.27,320.97,501.59,610.28,480.64,475.62,273.57,253.2,295.62,308.63,338.63,296.8,-
Other Financing Activities,820.75,"1,267.75",594.16,548.86,836.71,315.32,295.29,164.34,342.4,23.03,-6.51,-6.8,-68.88,-22.02,3.65,-7.78,-0.62,6.52,-0.85,-16.05,-1.09,-1.23,-1.04,-6.31,-,-0.11,-,-0.08,0.04,0.74,-0,0.03,0.07,1.95,-1.89,64.8,-,1.81,-0.98,-
Financing Cash Flow,781.78,"1,186.79",519.52,419.12,669.7,81.27,342.03,-179.51,105.85,-83.74,-483.27,-294.96,19.52,-42.09,38.02,-134.84,-401.15,251.96,-259.23,23.81,-255.77,55.5,-219.21,-156.56,-154.03,68.61,28.36,-88.85,306.37,508.72,614.66,485.79,476.55,"1,104.18",252.12,361.84,309.5,340.45,296.86,-
Net Cash Flow,559.86,105.36,-83.11,-11.5,350.15,-176.14,247.19,-278.34,342.4,84.52,71.23,39.15,-53.53,12.04,-25.66,-69.52,-73.79,92.78,-104.59,23.97,-12.39,77.06,-132.89,16.78,-10.07,91.91,-52.16,-10.92,-39.69,44.33,88.74,-383.66,4.35,787.11,13.72,4.36,15.3,-12.89,7.59,-
Free Cash Flow,98.09,18.53,92.96,175.5,19.1,111.6,76.22,75.37,-57.73,46.51,414.32,153.93,-227.88,-121.65,-218.25,-131.74,150.33,-392.67,-62.18,-237.96,0.09,-425.42,-142.21,-25.35,-25.03,-4.51,-18.7,-27.55,-0.54,7.87,21.66,5.57,0.26,8.94,7.65,-2.33,15.09,-17.76,5.89,-
Free Cash Flow Growth,413.63%,-83.40%,21.97%,132.86%,-,139.96%,-81.60%,-51.04%,-,-,-,-,-,-,-,-,163296.74%,-,-,-,-,-,-,-,-,-,-,-,-,-11.98%,183.16%,-,-98.31%,-,29.89%,-,-,-,-,-
Free Cash Flow Margin,39.93%,7.05%,30.49%,53.17%,6.60%,42.56%,30.96%,36.88%,-54.55%,61.61%,583.19%,381.42%,-173.71%,-64.54%,-106.52%,-69.05%,86.19%,-216.32%,-33.68%,-134.45%,0.06%,-271.91%,-92.32%,-18.16%,-20.10%,-3.45%,-16.32%,-26.64%,-0.36%,5.81%,18.63%,5.75%,0.31%,13.13%,13.64%,-4.84%,38.97%,-53.03%,21.48%,-
Free Cash Flow Per Share,0.92,0.17,0.89,1.71,0.19,1.11,0.77,0.77,-0.62,0.57,5.63,2.19,-2.63,-1.37,-2.49,-1.52,1.75,-4.59,-0.73,-2.83,0.00,-5.11,-1.72,-0.31,-0.31,-0.06,-0.24,-0.36,-0.01,0.10,0.29,0.07,0.00,0.59,0.64,-0.20,1.35,-1.62,0.55,-
