Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Investing Cash Flow,-11.06,-2.54,-6.76,-0.56,-18.45,-13.67,-11.17,-39.03,3.73,23.64,-25.26,-43.16,7.88,-2.89,20.25,-35.88,7.49,-17.88,-2.94,89.23,-40.94,-50.32,-21.36,-11.02,-3.2,-15.42,-4.29,3.64,-1.45,-12.43,-7.9,-7.36,-1.26,-299.79,-7.74,6.6,7.78,-4.42,-8.78
Dividends Paid,-1.28,-1.22,-1.22,-1.24,-1.24,-1.27,-1.29,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.25,-1.19,-1.19,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.86,-0.86,-0.86,-0.86,-0.49,-0.49,-0.49,-0.52,-0.52
Share Issuance / Repurchase,-0.13,-0.07,-0.7,-0.61,-3.22,-1.65,-1.84,-0.56,0,-0.01,0,-0.01,-1.97,-0.07,0,0,0.02,-0.02,0,-0.09,0.01,-0.01,0,0,0.03,-0.01,0,0,0,0,0,0,0,36.31,0,0.15,-2.84,0,0.01
Debt Issued / Paid,-7.94,-13.05,-14.07,-7.04,-0.05,-2.45,4.21,3.75,2.3,-4.01,-0.29,7.38,1.4,-1.55,1.39,-2.96,-3.29,-3.86,-15.64,-68.12,52.16,14.94,-0.79,0.62,-5.7,-6.59,2.09,8.95,-9.87,17.54,-8.93,-1.25,-8.73,42.67,1.24,1.36,-2.83,-6.86,-2.52
Other Financing Activities,13.02,-7.33,60.64,-35.12,23.7,-45.3,11.05,-18.41,59.89,25.53,5.1,87.3,-11.72,-7.55,18.81,1.64,18.81,23.77,38.33,-11.79,-18.61,10.97,35.32,1.6,27.24,19.87,3.08,-14.68,10.65,-10.65,-5.51,-13.98,11.94,206.74,16.08,-14.1,8.45,3.34,14.7
Financing Cash Flow,3.67,-21.67,44.65,-44.01,19.2,-50.66,12.14,-16.52,60.89,20.22,3.51,93.37,-13.59,-10.47,18.89,-2.62,14.24,18.64,21.5,-81.19,32.65,25,33.63,1.32,20.68,12.37,4.27,-6.64,-0.11,6,-15.3,-16.09,2.36,284.86,16.82,-13.08,2.28,-4.03,11.67
Net Cash Flow,-0.16,-19.1,41.68,-42.47,3.91,-53.85,1.51,-57.99,69.09,48.74,-19.23,53.3,-2.12,-8.2,44.04,-31.97,22.99,7.4,21.78,10.7,-7.14,-23.12,15.07,-6.92,21.31,-0.66,1.73,0.63,1.24,-4.12,-19.97,19.53,4.15,-20.48,10.32,-5.26,10.76,-6.23,5.11
Free Cash Flow,7.06,5.06,4.06,2.02,2.98,11.21,0.52,-4.48,4.27,4.74,2.43,3.04,3.57,5.18,4.89,6.49,1.26,6.74,2.43,0.8,-0.74,1.8,2.51,1.28,2.17,1.08,0.81,3.45,2.7,2.07,3.1,42.91,2.88,-11.62,1,1.16,0.56,2.11,2.17
Free Cash Flow Growth,137.09%,-54.85%,688.74%,-,-30.23%,136.49%,-78.80%,-,19.51%,-8.53%,-50.35%,-53.15%,183.12%,-23.06%,100.99%,709.61%,-,275.06%,-2.91%,-37.57%,-,66.76%,210.27%,-62.80%,-19.44%,-48.02%,-73.93%,-91.96%,-6.29%,-,210.21%,3596.04%,410.11%,-,-54.05%,-,-,-,-
Free Cash Flow Margin,49.35%,35.58%,29.53%,23.80%,23.82%,59.50%,4.22%,-33.57%,32.47%,35.35%,21.33%,23.98%,36.07%,39.61%,37.96%,51.80%,10.08%,54.47%,19.90%,7.49%,-9.03%,20.72%,28.26%,14.58%,25.11%,12.11%,9.68%,39.12%,32.03%,25.21%,34.85%,493.29%,32.03%,-147.59%,19.82%,23.43%,11.67%,42.87%,45.31%
Free Cash Flow Per Share,1.38,0.99,0.80,0.39,0.57,2.12,0.10,-0.82,0.79,0.88,0.45,0.56,0.66,0.95,0.90,1.19,0.23,1.24,0.45,0.16,-0.18,0.44,0.61,0.31,0.53,0.26,0.20,0.84,0.66,0.51,0.76,10.54,0.71,-4.41,0.42,0.49,0.24,0.86,0.88
