Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Investing Cash Flow,-92.14,231.82,486.45,-150.22,-276.03,-160.4,-270.17,-654.37,-820.72,-61.34,-222.25,269.66,-27.78,-546.25,"2,086",-204.86,-241.45,356.05,101.12,-172.03,53.08,-179.71,-87.42,180.28,-77.46,391.03,-941.18,-294.78,-349.9,-73.75
Dividends Paid,-21.98,-21.85,-21.84,-21.82,-21.83,-21.74,-21.8,-21.85,-21.9,-21.77,-21.88,-22.34,-22.94,-23.33,-23.38,-23.31,-23.62,-20.81,-20.99,-20.96,-20.94,-17.5,-17.48,-17.46,-17.3,-5.32,-4.68,-4.68,-4.67,-4.63
Share Issuance / Repurchase,-4.76,0,0,0,-3.9,-7.81,-4.11,-4.48,-3.35,-4.63,-18.69,-25.72,-35.86,-27.51,0.05,-12.55,-41.17,-48.29,-72.01,73.46,1.72,0.2,0.52,0.2,3.64,5.55,132.38,-0.93,-0.12,-0.16
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,-25,-45.22,97.87,0,0,0,0,0,0,73.22,-47,0,0,0,0,0,0,-21.98,-1.54,23.52,0
Other Financing Activities,-713.63,279.55,-330.4,-557.88,193.17,-19.5,-229.47,822.55,69.24,"1,141.56",99.88,-132.83,-415.98,-589.86,-568.28,-396.63,810.15,418.12,-644.32,43.82,159.84,108.25,-104.99,-419.13,-205.24,207.24,-413.59,"1,233.37",-204.97,86.27
Financing Cash Flow,-740.37,257.7,-352.24,-579.7,167.44,-49.05,-255.38,796.21,44,"1,090.16",14.09,-83.03,-474.77,-640.7,-591.6,-432.49,745.37,349.03,-664.11,49.31,140.62,90.95,-121.94,-436.4,-218.89,207.48,-307.86,"1,226.22",-186.25,81.48
Net Cash Flow,-749.53,609.02,137.53,-756.14,-77.36,-130.18,-464.43,188.85,-705.25,"1,128.96",-57.77,251.84,-587.44,"-1,045.35","1,593.71",-592.68,553.1,789.93,-492.48,-84.61,299.55,-17.84,-161.03,-151.27,-231.67,622.25,"-1,170.41",881.15,-514.85,26.57
Free Cash Flow,70.08,65.56,37.46,35.26,54.12,64.47,81.94,40.49,48.73,35.08,81.08,58.28,-6.85,-57.69,191.53,54.27,37.83,76.87,64.53,50.48,86.27,60.84,31.98,79.49,50.6,47.41,86.59,3.1,31.73,29.19
Free Cash Flow Growth,29.51%,1.70%,-54.28%,-12.92%,11.04%,83.78%,1.06%,-30.53%,-,-,-57.67%,7.38%,-,-,196.82%,7.52%,-56.15%,26.35%,101.80%,-36.50%,70.52%,28.33%,-63.07%,2461.81%,59.46%,62.43%,-,-,-,-
Free Cash Flow Margin,47.68%,44.15%,26.69%,26.47%,42.51%,51.07%,65.57%,32.34%,39.53%,27.99%,66.27%,49.77%,-5.30%,-42.45%,143.91%,41.59%,28.41%,57.12%,48.51%,39.35%,70.74%,50.24%,27.83%,71.21%,47.27%,44.20%,85.24%,3.21%,32.72%,34.11%
Free Cash Flow Per Share,1.39,1.30,0.75,0.70,1.08,1.29,1.64,0.81,0.97,0.66,1.53,1.10,-0.13,-1.04,3.46,0.98,0.68,1.41,1.18,0.92,1.58,1.14,0.60,1.49,0.95,0.89,1.63,-,-,-
