Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Investing Cash Flow,-82.68,-42.96,-18.28,-77.05,-110.85,-38.15,20.41,15.62,-78.16,-155.76,65.09,-147.41,-27.46,-16.1,22.97,68.44,-27.36,15.81,-36.43,-8.92,-85.6,26.26,33.86,27.96,-76.21,-34.93,-30.18,-34,-43.73,-30.8,-
Dividends Paid,-2.14,-2.17,-2.17,-2.18,-1.32,-1.32,-1.32,-1.33,-1.09,-1.1,-1.1,-0.92,-0.92,-0.93,-0.9,-0.93,-0.75,-0.74,-0.51,0,0,0,0,0,0,0,0,0,0,0,-
Share Issuance / Repurchase,-7.74,-3.38,-0.04,-5.3,-0.85,-0.9,0,0.84,-0.4,0,0,0,-1.44,0,-2,-4.42,-1.42,0,0,0,0,0,0,0,0,-0.37,21.93,0,0,0,-
Debt Issued / Paid,40.5,-105,75,45,0,0,0,0,-10,0,-0.08,29.46,0,0,0,-65,-50,0,30,-5,30,-25,-10,30,20,25,-10,25,-33.76,8.28,-
Other Financing Activities,70.27,46.07,3.19,-125.51,71.71,10.75,-105.8,28.99,183.2,-49.45,81.97,331.86,34.24,-2.82,10.06,43.54,108.79,40.77,-17.64,18.7,8.6,28.82,-28.6,-36.95,29.17,-9.11,-7.09,56.98,47.89,62.43,-
Financing Cash Flow,100.9,-64.48,75.97,-88,69.54,8.52,-107.12,28.5,171.7,-50.55,80.79,360.4,31.89,-3.76,7.16,-26.81,56.63,40.03,11.86,13.7,38.6,3.82,-38.6,-6.95,49.17,15.52,4.84,81.98,14.13,70.71,-
Net Cash Flow,40.25,-64.61,86.09,-242.16,-59.14,55.86,-90,58.7,113.13,-178.49,87.11,277.37,-9.82,-52.75,-2.06,35.76,14.88,52.85,-5.63,7.1,-31.67,13.01,21.7,-11.95,-20.07,6.66,-24.1,20.84,-23.48,36.05,-
Free Cash Flow,22.03,42.3,28.27,-76.91,-17.92,85.28,-3.35,14.45,19.5,28.45,-57.32,65.18,-14.26,-32.96,-32.43,-6.05,-15.5,-3.26,15.09,2.25,15.26,-17.07,26.43,-33.27,6.23,25.36,1.19,-27.18,6.12,-3.87,-
Free Cash Flow Growth,-,-50.41%,-,-,-,199.79%,-,-77.82%,-,-,-,-,-,-,-,-,-,-,-42.90%,-,145.04%,-,2115.17%,-,1.80%,-,-,-,-,-,-
Free Cash Flow Margin,81.42%,142.43%,101.11%,-260.94%,-57.80%,245.24%,-9.69%,42.54%,61.81%,83.93%,-177.23%,242.53%,-95.17%,-147.81%,-134.73%,-25.15%,-74.34%,-14.42%,105.68%,15.84%,115.11%,-128.51%,183.39%,-937.92%,71.91%,194.07%,10.22%,-234.59%,58.88%,-37.23%,-
Free Cash Flow Per Share,1.02,1.93,1.29,-3.49,-0.81,3.85,-0.15,0.65,0.88,1.29,-2.61,3.56,-0.78,-1.80,-1.83,-0.34,-0.87,-0.24,1.25,0.19,1.31,-1.50,2.34,-2.96,0.56,2.72,0.14,-3.13,0.71,-0.45,-
