Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Investing Cash Flow,-18.24,-47.56,6.5,-7.2,-165.91,99.15,15.74,-77.28,-352.96,131.18,145.67,-237.28,56.44,41.32,92.61,-94.27,56.44,8.11,-63.53,-97.9,-18.17,-144.16,8.7,-20.66,-66.81,-137.81,-35.08,-12.77,44.97,-30.44,-52.66,-108.56,-75.29,-12.6,6.33
Dividends Paid,-1.64,-1.6,-1.29,-1.32,-1.35,-1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-9.14,-4.03,-3.24,-11.17,-11.94,-3.95,-2.44,-2.37,-5.5,-6.52,-5.69,0,-6.53,0.05,-3.25,-7,0.11,0.01,0.11,0,0.02,0.08,0.41,0.03,0.69,23.65,0,0.11,0,38.95,0,0,0,-0,-15.54
Debt Issued / Paid,110.98,-48.1,100.69,34.55,42.19,-11.71,-17.23,6.13,4.08,-168.17,-150.45,-29.41,97.67,-96.39,-35.65,184.29,-133.52,-188.15,3.83,216.01,12.69,147.52,-57.28,3.71,-5.46,48.24,23.71,49.09,-63.47,-77.9,26.61,75.27,67.55,-18,8.34
Other Financing Activities,44.85,33.93,-65.39,-36.65,-40.7,12.22,-25.48,52.64,186.64,251.18,-113.77,286.63,-103.17,-41.4,-79,-75.24,38.86,304.38,59.33,-119.01,-13.77,10.33,48.79,-1.73,65.3,76.95,-19.04,-37.64,1.82,100.57,24.4,37.51,-14.52,41.53,-10.2
Financing Cash Flow,145.05,-19.8,30.77,-14.6,-11.8,-4.58,-45.14,56.4,185.22,76.49,-269.9,257.23,-12.03,-137.74,-117.91,102.05,-94.55,116.24,63.27,97,-1.06,157.93,-8.08,2.02,60.53,148.83,4.67,11.56,-61.65,61.62,51.01,112.79,53.03,23.52,-17.4
Net Cash Flow,145.94,-50.99,51.83,13.53,-169.9,117.64,3,2.63,-144.01,214.86,-112.45,36.04,52.96,-78.76,-13.37,13.97,-25.37,131.44,13.69,4.55,-9.05,24.73,3.25,-11.11,0.23,13.25,-24.36,1.62,-12.24,33.64,3.56,6.84,-18.92,15.95,-6.86
Free Cash Flow,14.76,14.12,14.14,34.95,7.55,22.32,31.54,21.95,21.81,4.02,9.83,12.87,7.36,16.74,11.5,1.86,11.5,5.39,8.87,4.26,10.57,8.58,1.09,5.88,5.22,1.52,4.86,2.29,4.3,2.14,4.91,-2.41,3.26,4.22,2.88
Free Cash Flow Growth,95.67%,-36.73%,-55.15%,59.20%,-65.41%,454.67%,220.94%,70.57%,196.29%,-75.96%,-14.53%,591.94%,-35.98%,210.48%,29.57%,-56.33%,8.83%,-37.14%,714.04%,-27.58%,102.53%,464.58%,-77.57%,157.15%,21.47%,-28.99%,-1.02%,-,31.71%,-49.32%,70.66%,-,-,-,-
Free Cash Flow Margin,30.40%,27.96%,27.71%,72.24%,15.49%,45.98%,68.93%,48.37%,49.32%,9.35%,26.01%,49.27%,26.81%,44.06%,30.73%,5.06%,56.60%,14.17%,24.05%,12.25%,34.23%,30.42%,4.61%,23.97%,23.57%,8.59%,33.74%,16.20%,29.15%,14.79%,37.93%,-18.68%,25.67%,34.53%,22.47%
Free Cash Flow Per Share,0.93,0.89,0.88,2.15,0.45,1.32,2.20,1.53,1.51,0.27,0.65,0.85,0.48,1.08,0.74,0.12,0.73,0.34,0.56,0.29,0.72,0.70,0.09,0.48,0.45,0.18,0.59,0.28,0.52,0.26,0.73,-0.36,-,-,-
