Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Investing Cash Flow,-18.28,-165.79,-467.99,-632.59,-477.75,-374.26,-269.61,-220.53,14.84,238.98,261.17,-234.93,44.93,-96.01,-43.98,47.81,-90.73,-184.31,-71.01,-191.72,-139.47,-54.64,-142.64,-39.96,-29.93,-55.51,-45.08,6.67,61.18,-128.09,86.8,-
Dividends Paid,-6.99,-6.1,-5.98,-6.15,-6.19,-5.25,-5.13,-5.22,-5.27,-4.15,-4.27,-2.91,-2.84,-2.56,-2.51,-2.48,-2.5,-2.45,-1.85,-1.84,0,0,0,0,0,0,-60,-4.3,-5,-4.25,-10.7,-
Share Issuance / Repurchase,-4.62,-7.24,0.53,-26.54,-5.52,-7.16,0.21,0,0.83,0,0.53,0,0.45,0,0.44,0,0.36,0,0.53,0,0.67,0,0.64,152.72,0,0.53,115.53,0,0,0,0,-
Debt Issued / Paid,-98.82,-307.06,537.3,5.77,-14.78,-1.01,-11.33,3.82,-57.97,-200.27,47.93,0.84,19.96,-2.45,49.83,18.55,1.4,16.81,-131.93,49.88,-54.58,136.74,65.89,-2.55,-153.77,62.03,69.37,-11.53,-83.16,-117.34,37.06,-
Other Financing Activities,323.23,849.29,-533.7,-451.18,161.57,764.94,-140.75,-53.18,796.98,349.01,33.66,575.55,231.62,10.63,77.9,-49.38,129.1,42.22,219.53,143.43,99.48,-53.29,11.19,26.39,29.01,31.49,125.78,45.16,30.66,162.68,3.08,-
Financing Cash Flow,212.8,528.89,-1.86,-478.1,135.08,751.52,-156.99,-54.58,734.58,144.58,77.85,573.47,249.18,5.62,125.66,-33.31,128.36,56.57,86.29,191.47,45.57,83.46,77.72,176.57,-124.76,94.04,250.67,29.34,-57.5,41.09,29.43,-
Net Cash Flow,292.9,408.76,-254.57,-870.45,-54.43,473.18,-392.53,-178.04,577.24,255.51,344.8,292.5,192.41,-10.32,78.66,-31.08,70.06,-56.27,77.21,30.72,-46.05,22.59,-89.11,56.73,-6.78,19.03,28.38,-25.64,16.84,21,-9.81,-
Free Cash Flow,88.93,41.1,212.44,238.49,287.64,95.01,30.04,97.96,-174.23,-131.34,7.96,-47.85,-104.71,77.32,-5.08,-45.67,31.8,69.94,60.27,25.07,47.14,-7.88,-25.36,-81.11,147.45,-20.56,-178.37,-62.51,11.5,105.01,-127.02,-
Free Cash Flow Growth,-69.08%,-56.74%,607.24%,143.46%,-,-,277.17%,-,-,-,-,-,-,10.55%,-,-,-32.54%,-,-,-,-68.03%,-,-,-,1181.98%,-,-,-,-,-,-,-
Free Cash Flow Margin,70.29%,32.00%,173.27%,193.79%,214.95%,61.80%,20.02%,65.44%,-106.79%,-77.80%,7.21%,-43.15%,-150.92%,85.93%,-5.37%,-51.24%,39.42%,91.53%,70.66%,29.08%,57.92%,-9.26%,-30.84%,-121.16%,239.39%,-33.64%,-249.44%,-92.60%,20.18%,203.78%,-242.67%,-
Free Cash Flow Per Share,1.91,0.88,4.53,5.05,6.05,1.99,0.63,2.07,-3.68,-2.78,0.25,-1.49,-3.37,2.50,-0.16,-1.48,1.03,2.28,1.96,0.82,1.54,-0.26,-0.84,-3.15,6.11,-1.07,-9.77,-3.64,0.67,6.11,-7.39,-
