Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Investing Cash Flow,-289.41,-171.51,-303.65,-317.57,92.2,-362.53,-132.09,-97.08,-83.66,-162.36,-14.45,-272.78,-25.71,-26.28,-68.5,-60.65,-36.87,-31.19,-30.86,-53.94,-54.33,-40.37,-54.7,-14.1,-44.28,4.86,12.2,-6.14,-44.25,-15.64,-19.36,65.94,-45.06,3.89,-11.03,11.47,11.65
Dividends Paid,-3.04,-3,-2.7,-2.69,-2.44,-2.44,-2.45,-2.49,-2.06,-2.06,-2.06,-2.06,-1.34,-1.32,-1.33,-1.33,-1.07,-0.92,-0.92,-0.82,-0.61,-0.61,-0.42,-0.42,-0.35,-0.35,-0.35,-0.35,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,47.15,0.04,0.25,-0.05,-0.36,-8.34,-2.08,0.43,-0.8,0,0,-5.96,0.07,-2.19,0,1.27,-0.01,-0.12,27.78,0,62.46,0,0,-0.03,-0.86,0,0,0.02,0,-2.81,0,0,0,0,0,0
Debt Issued / Paid,292.06,-116.77,283.63,174.19,1.28,9.86,37.45,-0.58,31.09,-183.95,-3.77,52.58,-3.26,1.95,34.94,83.03,-26.16,-10.34,0.41,8.17,-7.55,8.66,-0.26,-0.89,20.01,0.18,0.18,-0.66,0.1,-30.25,22.96,-8.06,10,0,0,0,0
Other Financing Activities,-15.52,232.81,-0.05,0.4,103.24,327.83,43.9,-133.87,242.27,380.2,-13.69,271.08,20.8,48.68,30.55,-16.43,10.53,89.88,24.58,21.76,-11.75,40.44,43.08,8.75,30.47,3.15,-69.01,20.35,74.07,39.94,-61.75,17.19,38.39,-12.86,11.09,-9.17,4.02
Financing Cash Flow,273.5,160.2,280.93,172.15,102.04,334.89,70.56,-139.02,271.73,193.4,-19.52,321.6,10.24,49.37,61.97,65.26,-15.43,78.61,23.94,56.89,-19.91,110.94,42.4,7.45,50.1,2.11,-69.18,19.34,74.18,9.7,-41.59,9.12,48.39,-12.86,11.09,-9.17,4.02
Net Cash Flow,7.03,0.07,-2.02,-127.38,213.7,-12.99,-49.41,-224.49,206.13,45.24,-12.13,35.91,-9.26,26.02,-0.69,11.44,-43.47,50.13,0.08,8.23,-69.96,71.38,-8.99,-4.76,7.79,8.43,-54.74,15.13,32.44,-5.05,-60.54,75.03,5.47,-8.06,0.91,3.55,19.53
Free Cash Flow,20.86,10.79,19.92,15.52,15.56,11.73,12.04,11.01,17.69,13.96,22.03,-15.07,5.45,0.99,4.78,6.29,8.4,2.58,6.91,4.89,3.98,0.73,3.18,1.75,1.8,1.38,1.6,1.6,2.25,0.5,0.02,-0.14,2.06,0.89,0.83,1.12,3.83
Free Cash Flow Growth,34.06%,-8.02%,65.38%,41.05%,-12.02%,-15.93%,-45.33%,-,224.35%,1306.85%,361.30%,-,-35.09%,-61.52%,-30.88%,28.50%,111.29%,251.23%,117.30%,179.34%,121.19%,-46.81%,98.19%,9.64%,-19.95%,174.90%,8342.11%,-,9.19%,-43.53%,-97.72%,-,-46.35%,-,-,-,-
Free Cash Flow Margin,36.02%,17.61%,34.15%,28.94%,34.77%,26.25%,28.50%,20.82%,42.33%,29.70%,56.98%,-49.45%,25.19%,4.37%,22.00%,27.21%,40.40%,13.81%,41.41%,29.65%,25.23%,6.84%,27.58%,14.62%,15.62%,13.32%,14.57%,15.63%,22.02%,5.16%,0.18%,-1.51%,31.92%,14.18%,13.76%,18.55%,61.85%
Free Cash Flow Per Share,0.83,0.43,0.88,0.69,0.76,0.57,0.59,0.53,0.85,0.68,1.07,-0.73,0.41,0.07,0.36,0.47,0.63,0.22,0.60,0.48,0.39,0.07,0.46,0.25,0.26,0.20,0.23,0.23,0.32,0.07,0.00,-0.02,0.39,0.17,-,-,-
