Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Investing Cash Flow,-80.9,-138.01,-80.82,-358.22,-242.8,12.48,-83.12,186.39,-351.8,-0.82,-75.91,-632.44,-177.19,-114.48,-29.35,6.39,-113.12,-60.14,-117.56,-138.75,-52.95,-67.55,-30.3,-0.47,36.67,-61.44,-107.14,-
Dividends Paid,-3.32,-3.32,-3.32,-3.42,-3.35,-3.34,-3.34,-2.29,-2.29,-2.3,-1.14,-1.14,-1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Share Issuance / Repurchase,0,0.58,-4.16,-5.07,-7.12,0.41,-9.84,-11.96,-5.34,0.54,2.08,0.06,-0.72,0.79,0.34,1.67,0.93,0.67,0.74,0.13,1.01,0,76.83,0,0,-0.43,15,-
Debt Issued / Paid,22.41,-13.56,-94.14,436.64,-208.27,-19.4,92.28,-302.88,101.82,-62.66,224.63,-82.96,101.01,1.35,5.41,62.56,0.2,9.72,4.79,36.84,15.14,127.38,-2.77,8.49,-91.81,144.79,-4.44,-
Other Financing Activities,117.53,82.67,224.08,-141.73,364.42,-3.43,65.93,67.48,272.33,-58.39,-148.28,719.33,91.08,67.1,19.91,-38.6,58.47,9.08,95.88,97.94,81.03,-77.78,-45.29,-35.22,86.77,-103.91,97.51,-
Financing Cash Flow,136.62,66.37,122.47,286.42,145.68,-25.76,145.03,-249.66,366.52,-122.81,77.3,635.29,190.23,69.23,25.66,25.63,59.6,19.47,101.42,134.91,97.18,49.6,28.77,-26.73,-5.04,40.46,108.07,-
Net Cash Flow,104.86,-36.94,74.39,-11.68,-4.35,15.05,40.18,-10.44,29.72,-17.66,-38.85,20.31,38.88,-28.1,19.52,7.32,-39.86,-22.9,-7.96,24.68,69.69,-3.89,-17.59,-3.45,36.73,-4.43,-9.27,-
Free Cash Flow,48.85,34.4,32.08,58.38,91.87,27.85,-22.35,52.17,14.82,106.2,-40.96,16.09,23.8,15.18,22.34,-25.14,12.67,18.01,7.35,28.04,25.41,13.76,-16.69,22.94,4.3,16.19,-11.51,-
Free Cash Flow Growth,-46.82%,23.52%,-,11.90%,519.93%,-73.78%,-,224.15%,-37.74%,599.81%,-,-,87.83%,-15.74%,204.08%,-,-50.12%,30.94%,-,22.19%,490.40%,-15.04%,-,-,-,-,-,-
Free Cash Flow Margin,60.29%,43.53%,41.83%,83.54%,125.56%,33.75%,-28.66%,64.29%,21.79%,169.26%,-68.24%,32.24%,49.92%,23.68%,33.48%,-40.38%,21.82%,28.72%,12.74%,56.85%,63.99%,34.03%,-42.32%,58.10%,10.77%,47.77%,-48.02%,-
Free Cash Flow Per Share,1.29,0.92,0.85,1.54,2.43,0.74,-0.59,1.35,0.38,2.75,-1.07,0.42,0.62,0.40,0.59,-0.66,0.35,0.50,0.20,0.95,0.86,0.47,-0.57,0.93,0.15,0.55,-0.59,-
