Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-28,2013-09-30
Investing Cash Flow,-285,284.16,-13.79,507.54,-105.52,-90.66,80.88,156.63,-69.2,-105.66,-355.18,-32.16,-281.74,63.02,-357.12,-211.74,-14.54,-70.74,74.67,-337.49,65.25,-86.82,-105.1,-217.63,29.78,-59.12,-77.16,-157.75,20.47,-125.99,-46.91,-126.42,-89.81,-21.87,15.76,-128.82,12.84,58.2,-
Share Issuance / Repurchase,-76.19,-24.77,0.85,-50.61,-0.63,0,0.45,-1.24,0,0,0,-0.19,-35.59,-14.41,-25,-17.56,-7.55,-0,-0,191.66,0,-0.02,65.53,-0.25,-0.11,-0.57,0,-0.08,0,-0.34,0,0,0,83.66,-0,-0,0,0,-
Debt Issued / Paid,502.87,-13.12,1.72,-191.12,23.62,69.7,-121.15,-62.55,41.51,-372.95,-12.64,-168.15,421.66,-73.81,226.34,-90.94,74.24,-8.76,-88,68.76,-14.74,-28.38,49.91,144.49,-30.02,-4.84,99.87,74.49,-19.68,62.73,44.57,23.35,94.7,-14.99,-69.98,46.58,5.78,8.12,-
Other Financing Activities,-133.18,-270.82,-340.63,81.73,61.93,-176.32,96.37,-65.06,72.46,467.72,179.26,422.68,-107.89,92.07,38.86,344.54,-135.91,11.3,139.25,83.86,-88.04,154.51,-59.83,47.98,8.31,64.91,11.77,14.63,11.3,48.77,10.65,15.46,8.34,32.59,32.75,56.19,4.94,-32.36,-
Financing Cash Flow,293.5,-308.71,-338.07,-160.01,84.92,-106.61,-24.33,-128.85,113.96,94.78,166.62,254.34,278.18,3.85,240.19,236.04,-69.22,2.54,51.25,344.28,-102.78,126.11,55.61,192.22,-21.82,59.5,111.64,89.05,-8.37,111.16,55.22,38.8,103.04,101.25,-37.24,102.77,10.72,-24.24,-
Net Cash Flow,9.53,-13.55,-302.51,310.53,30.53,-149.59,88.33,63.63,66.42,26.12,-148.79,228.65,10.53,82.84,-94.26,37.36,-62.99,-47.47,149.04,27.32,-28.08,53.57,-36.95,-8.58,11.57,9.79,42.98,-61.97,18.44,-10.51,16.07,-78.73,17.55,85.26,-10.09,-21.24,21.15,24.7,-
Free Cash Flow,-14.36,8.62,46.44,-40.03,48.55,43.22,31.09,31.54,16.74,35.71,39.26,-5.26,10.04,4.37,18.54,10.94,17.27,18.43,15.05,13.3,8.27,7.72,11.85,16.54,3.21,8.09,6.27,6.46,5.85,3.37,7.09,8.39,4.01,5.15,9.88,4.22,-2.31,-10.24,-
Free Cash Flow Growth,-,-80.07%,49.37%,-,189.95%,21.05%,-20.82%,-,66.73%,718.03%,111.73%,-,-41.85%,-76.32%,23.22%,-17.80%,108.83%,138.83%,26.95%,-19.57%,157.68%,-4.54%,89.18%,156.22%,-45.16%,139.98%,-11.65%,-23.04%,45.90%,-34.56%,-28.20%,98.70%,-,-,-,-,-,-,-
Free Cash Flow Margin,-14.10%,7.70%,42.88%,-27.29%,43.85%,37.16%,29.61%,29.76%,15.92%,35.25%,46.12%,-7.44%,20.21%,5.84%,26.63%,16.23%,25.46%,26.42%,24.66%,24.96%,16.62%,16.13%,27.50%,39.09%,6.24%,21.67%,18.59%,23.36%,20.91%,12.28%,24.15%,31.21%,11.22%,22.15%,28.37%,20.33%,-11.26%,-36.80%,-
Free Cash Flow Per Share,-0.62,0.35,1.90,-1.59,1.93,1.72,1.24,1.27,0.67,1.44,1.58,-0.22,0.41,0.17,0.71,0.41,0.65,0.70,0.57,0.51,0.40,0.37,0.65,0.91,0.18,0.45,0.35,0.36,0.33,0.19,0.39,0.47,0.22,0.29,0.60,0.25,-0.14,-0.62,-
