Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Dividends Paid,-2.05,-1.92,-1.87,-1.89,-2.12,-11.25,-11.19,-11.19,-9.61,-9.21,-9.19,-9.18,-9.47,-9.26,-9.12,-9.1,-9.24,-9.1,-8.98,-8.97,-9.07,-24.24,-8.87,-8.84,-8.89,-48.56,-5.82,-5.81,-5.79,-33.67,-4.6,-4.57,-4.57,-4.95,-65.05,0,0,-
Share Issuance / Repurchase,-1.51,-0.36,0,-0.02,-0.92,0.99,0.24,192.07,-2.39,-1.37,1.57,0.81,-2.04,-0.04,1.07,3.1,1.26,0.54,0.37,0.45,1.58,-2.68,-1.98,-2.66,-0.43,-4.07,0.39,0.58,0.44,-1.88,-3.5,0.65,0,0,0,0,0,-
Debt Issued / Paid,0,0,0,0,-40,0,0,0,0,45,0,-60,119,60,0,0,-20,20,0,0,0,10,0,0.29,-0.29,0.84,-0.29,-0.29,-0.27,0.49,-0.17,-0.16,-0.16,10.48,20.14,-0.16,-0.16,-
Other Financing Activities,-5.25,-,-2.63,-3.5,144.9,-,-,-,-,-,-,-,-,-0.71,-,-,-,-0.31,-0.33,-0.3,-0.17,-0.17,-0.16,-0.47,-,-1.57,-,-,-,-2.58,1.84,0.14,-0.05,-0.64,-0.4,-,-,-
Financing Cash Flow,-8.81,-2.28,-4.5,-5.41,101.86,-10.26,-10.94,180.87,-12,34.42,-7.63,-68.36,107.49,49.99,-8.05,-6,-27.99,11.12,-8.94,-8.82,-7.67,-17.08,-11,-11.68,-9.61,-53.35,-5.72,-5.52,-5.62,-37.64,-6.42,-3.94,-4.78,4.88,-45.3,-0.16,-0.16,-
Net Cash Flow,27.77,-13.65,-162.81,80.64,80.08,61.58,-853.91,149.3,-87.02,-58.01,-144.98,-173.38,-7.53,"1,149.77",87.18,36.57,-39.91,-11.96,-82.95,116.32,-12.45,57,18.73,-6.45,-15.56,18.91,10.22,-11.47,-14.28,29.85,10.73,-5.52,-2.03,-18.25,32.57,-150.59,51.05,-
Free Cash Flow,18.16,50.95,27.42,72.52,63.63,144.4,-969.37,-13.87,-81.01,-52,-85.93,-70.8,-65.65,"1,275.16",145.42,32.62,35.31,38.71,87.7,115.43,48.19,88.93,54.98,48.76,15.14,72.58,52.86,28.32,0.59,16.88,54.66,23.54,24.89,43.08,39.12,23.5,24.7,-
Free Cash Flow Growth,-71.47%,-64.71%,-,-,-,-,-,-,-,-,-,-,-,3194.13%,65.81%,-71.74%,-26.73%,-56.47%,59.51%,136.74%,218.23%,22.54%,4.01%,72.18%,2449.16%,330.02%,-3.30%,20.28%,-97.61%,-60.82%,39.74%,0.20%,0.76%,-,-,-,-,-
Free Cash Flow Margin,7.71%,22.57%,13.63%,39.24%,31.51%,69.64%,-507.54%,-7.24%,-44.27%,-26.78%,-48.42%,-37.91%,-59.53%,528.78%,62.82%,14.80%,16.49%,18.04%,39.03%,50.62%,22.07%,40.80%,24.89%,24.09%,8.58%,42.94%,34.92%,21.05%,0.45%,13.49%,41.06%,19.58%,19.68%,35.69%,34.98%,22.00%,24.77%,-
Free Cash Flow Per Share,0.48,1.36,0.73,1.94,1.70,3.87,-26.00,-0.40,-2.64,-1.70,-2.81,-2.32,-2.15,41.93,4.79,1.08,1.18,1.29,2.93,3.86,1.62,3.00,1.86,1.66,0.52,2.49,1.82,0.97,0.02,0.59,1.90,0.82,0.87,1.51,1.37,0.82,0.86,-
