Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Investing Cash Flow,-11.32,-9.4,-3.97,-8.65,-0.35,-2.45,-0.9,-3.07,-3.03,-1.19,-0.86,-0.61,-3.37,9.91,-13.19,-11.8,-13.74,-18.8,-1.1,-4.32,-3.88,-21.48,-1.34,-0.19,-0.14,-2.08,-3.82,1.11,-0.07,-0.64,-0.47,-5.73,-0.81,-0.75,-1.7,-0.55,-0.48,-
Share Issuance / Repurchase,-0.34,-0.03,0,-0.02,-0.22,0,0,-0.02,-0.1,0,-0,-0.01,-0.01,-12.39,0,0,0,0.83,18.1,0,0,0,0,0,-0.02,0,0,-0,-0.02,0.01,-0,-0.02,-0.06,0,0,0,0,-
Debt Issued / Paid,18.64,0.63,-0.94,36.5,-2.62,-0.35,0.48,-0.74,-4.95,-0.92,0.05,-0.78,25.87,9.53,2.24,0.41,6.93,-1.44,5.28,-0.34,1.39,10.01,-0.04,-0.9,0.74,-0.18,-0.06,0.31,-0.11,-0.07,0.4,0.26,-0.52,-0.21,0,0,0,-
Other Financing Activities,-8.87,-8.94,-8.68,-26.39,-,-7.99,0.37,-8.35,-,-7.88,-3.62,-5.32,-4.65,-4.13,-2.27,-0.06,-2.34,-2.79,-3.17,-0.01,2.67,0,0.09,-2.7,-51.73,0.33,-0.01,-44.06,1.69,0.01,0.02,2.41,3.43,39.74,0.4,6.66,10.96,-
Financing Cash Flow,9.42,-8.33,-9.62,10.09,-2.84,-8.34,0.85,-9.11,-5.05,-8.79,-3.58,-6.11,21.21,-6.99,-0.02,0.35,4.59,-3.4,20.21,-0.35,4.06,10.01,0.06,-3.6,-51.01,0.15,-0.06,-43.75,1.56,-0.05,0.41,2.65,2.85,39.53,0.4,6.66,10.96,-
Net Cash Flow,-9.31,0.26,-5.48,23.11,-8.9,-2.32,8.33,-2.57,-13.66,-22.53,2.51,27.12,22.33,4.87,-4.94,0.76,-6.89,-16.22,22.4,3.3,4.4,-10.11,4.7,-2.3,-40.57,4.15,-8.09,-36.71,78.53,27.3,4.24,-3.85,-4.67,29.02,-2.27,1.25,1,-
Free Cash Flow,-12.54,8.42,6,19.94,-7.03,3.69,7.83,7.38,-4.05,-14.7,6.68,33.28,2.37,0.44,-1.93,0.84,-4.47,-11.41,0.3,5.96,1.77,-0.4,4.64,1.17,10.44,4,-8.03,5.67,76.98,27.35,3.83,-1,-7.51,-10.51,-2.67,-5.41,-9.96,-
Free Cash Flow Growth,-,127.94%,-23.42%,170.02%,-,-,17.33%,-77.81%,-,-,-,3842.77%,-,-,-,-85.85%,-,-,-93.64%,410.53%,-83.08%,-,-,-79.39%,-86.44%,-85.37%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-6.78%,4.72%,3.64%,11.91%,-5.25%,2.87%,7.24%,8.65%,-6.49%,-25.32%,11.95%,72.98%,1.77%,0.43%,-3.39%,1.33%,-7.05%,-22.38%,0.71%,10.88%,3.67%,-1.33%,24.10%,5.95%,80.20%,20.50%,-48.52%,31.22%,574.06%,162.03%,26.42%,-6.91%,-57.27%,-130.67%,-88.28%,-138.13%,-430.97%,-
Free Cash Flow Per Share,-4.20,2.83,2.03,6.84,-2.50,1.33,2.81,2.67,-1.51,-6.23,2.90,14.67,1.08,0.20,-0.75,0.34,-1.85,-4.79,0.14,2.85,0.84,-0.19,2.29,0.58,5.18,1.99,-3.98,2.82,38.34,13.63,1.92,-0.50,-3.79,-5.30,-1.35,-2.73,-5.03,-
