Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Investing Cash Flow,0.46,1.7,-5.35,-7.81,-7.44,-14.43,-2.97,1.68,-7.45,0.1,0.01,1.54,-0.19,-1.45,0.04,0.14,0.15,-1.44,0.06,0.17,0.06,0.26,0.28,0.25,0.1,0.22,0.13,-0.04,0.04,0.03,0.31,0.33,0.27,0.14,-
Share Issuance / Repurchase,0,0,0,0,0,31.46,0,0,0,0,8.2,1,0.25,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,-
Debt Issued / Paid,-0.18,-0.18,0,-0.06,-0.06,-0.06,-0.04,0.69,-0.81,-0.06,-0.04,0.15,-0.03,-0.06,-0.05,-0.04,-0.04,-0.72,-0.03,0.43,-0.05,-0.18,-0.2,-0.2,-0.18,-2.47,0,0,0,0.19,0,0,0,-1.13,-
Other Financing Activities,0,-,-,-,-,0.7,-,-,9.54,0.01,0.14,2.95,-,-,-,-,0.02,-,-,-,-,-,-,-,-,1.58,-1.01,-0.6,-1.23,-3.54,-0.92,-0.71,-0.93,1.09,-
Financing Cash Flow,-0.18,-0.18,0,-0.06,-0.06,32.1,-0.04,0.69,8.73,-0.05,8.29,4.1,0.22,-0.06,-0.05,-0.04,-0.02,4.48,-0.03,0.43,-0.05,-0.18,-0.2,-0.2,-0.18,-0.89,-1.01,-0.6,-1.23,6.34,-0.92,-0.71,-0.93,-0.04,-
Net Cash Flow,-0.81,-5.94,-6.87,-7.49,-8.02,15.1,-4.71,4.37,6.25,-0.68,5.95,5.52,-0.3,-1.76,-0.27,-0.29,-0.14,2.75,-0.43,0.74,-0.13,-0.01,-0.22,-0.57,-0.87,-1.37,-2.19,-1.44,-1.72,6.89,-0.32,0.36,0.04,0.62,-
Free Cash Flow,-2.28,-5.64,-4.46,-6.06,-7.65,-17,-3.27,2,4.97,-0.73,-2.36,-0.12,-0.32,-0.25,-0.26,-0.39,-0.27,-0.3,-0.46,0.13,-0.14,-0.1,-0.3,-0.62,-0.79,-0.97,-1.31,-0.81,-0.53,0.48,0.29,0.74,0.69,0.37,-
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.12%,-,-,-,-,-
Free Cash Flow Margin,-98.54%,-503.08%,-2373.74%,-2583.45%,-4003.52%,-5128.95%,-1461.65%,609.79%,2814.68%,-221.70%,-934.69%,-34.34%,-94.11%,-49.54%,-46.61%,-59.10%,-40.65%,-38.94%,-58.46%,15.20%,-14.17%,-7.16%,-29.21%,-63.86%,-77.53%,-110.12%,-130.06%,-56.33%,-33.76%,27.40%,18.14%,36.80%,43.69%,22.27%,-
Free Cash Flow Per Share,-0.17,-0.43,-0.34,-0.46,-0.58,-2.49,-0.60,0.37,0.98,-0.45,-1.21,-0.15,-0.50,-0.40,-0.41,-0.62,-0.43,-1.50,-3.65,1.07,-1.09,-1.36,-4.61,-9.46,-12.03,-14.70,-19.84,-12.25,-8.07,7.26,4.42,11.24,10.51,5.62,-
