Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Investing Cash Flow,-71.57,-358.28,-291.63,-176.37,-125.74,-156.16,-77.82,-7.13,0.06,35.42,-59.21,-306.61,11.54,-139.51,-38.25,-39.15,-11.92,-50.05,-35.8,-78.76,-51.29,-78.5,-35.36,-26.51,-97.07,-103.77,-82.95,-67.51,-0.16,-0.5,16.69,-80.9,-14.85
Dividends Paid,-3.44,-2.53,-3.49,-3.56,-2.6,-1.98,-2.73,-2.79,-1.7,-1.51,-1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-27.13,-3.77,-10.83,-17.93,-21.64,-12.14,-35.14,-7.13,-14.17,-15.31,-0.61,0,0,-0.05,303.39,0,0,0,-0.81,0,-0.46,-0.28,0,0,0,0,-0.04,140.57,0,0,0,0,0
Debt Issued / Paid,189.99,54.99,239.99,49.99,-0.01,-0.01,-31.76,-10.01,-51.61,-87.01,-105.01,55.99,-69.01,82.99,-38.01,-46.79,-164,11.86,-22.4,61.07,-64,14,11.25,-10,-0,30,50.02,-74.5,20,-51.8,-71.86,-20,-10
Other Financing Activities,54.23,306.04,35.35,86.08,80.34,-11.72,6.46,13.05,168.96,139.91,56.71,287.28,80.38,17.94,-69.13,132.84,151.87,22.86,-17.51,75.28,113.56,9.88,10.25,70.26,118.79,69.53,25.75,-53.34,60.28,24.29,4.77,101.73,60.75
Financing Cash Flow,213.64,354.73,261.02,114.58,56.09,-25.84,-63.16,-6.87,101.48,36.09,-50.66,343.27,11.37,100.88,196.25,86.05,-12.13,34.72,-40.71,136.36,49.1,23.6,21.49,60.25,118.79,99.53,75.73,12.73,80.28,-27.51,-67.09,81.73,50.75
Net Cash Flow,151.74,12.06,1.62,-55.39,-54.99,-124.92,-96.01,97.12,112.66,68.35,-111.45,13.55,23.8,-27.02,159.92,-22.85,-3.97,10.42,-37.4,25.19,26.52,-14.01,-6.79,-0.8,52.18,30.96,-10.88,-84.12,73.61,24.72,-52.9,-14.56,30.41
Free Cash Flow,9.17,14.68,31.49,5.96,14.5,55.81,44.06,109.22,8.74,-4.35,-4.19,-24.3,0.14,10.42,1.38,-71.05,18.68,23.07,37.41,-33.17,28.31,39.96,6.22,-35.24,29.75,34.43,-4.32,-29.6,-6.97,52.12,-2.89,-15.61,-5.74
Free Cash Flow Growth,-36.74%,-73.69%,-28.54%,-94.54%,65.86%,-,-,-,5971.53%,-,-,-,-99.23%,-54.81%,-96.31%,-,-34.00%,-42.27%,501.61%,-,-4.84%,16.05%,-,-,-,-33.93%,-,-,-,-,-,-,-
Free Cash Flow Margin,22.26%,31.25%,59.51%,12.23%,27.89%,102.24%,78.07%,186.65%,12.53%,-6.99%,-6.74%,-41.88%,0.35%,23.51%,3.11%,-174.64%,53.36%,62.45%,109.63%,-101.86%,92.31%,121.73%,18.86%,-109.97%,103.94%,100.15%,-12.31%,-99.54%,-28.16%,194.15%,-10.52%,-97.88%,-35.80%
Free Cash Flow Per Share,0.20,0.32,0.69,0.13,0.30,1.14,0.89,2.11,0.17,-0.08,-0.08,-0.45,0.00,0.20,0.03,-1.25,0.33,0.41,0.66,-0.58,0.50,0.70,0.11,-0.63,0.54,0.60,-0.08,-0.51,-0.12,0.90,-,-,-
